beta,seed,method,inst_id,rule,alone,plus_sup,rule_sup,oracle
0.75,302,m2a,c09_storm2_w80_u100_0021.json,2264.009600,2112.582400,1987.820400,2217.445200,1971.832800
0.75,302,m2a,c09_storm2_w80_u100_0022.json,1037.825200,1017.947200,946.820800,987.404800,943.385600
0.75,302,m2a,c09_storm2_w80_u100_0023.json,5139.423200,4457.674400,3002.242400,3876.339600,2455.561600
0.75,302,m2a,c09_storm2_w80_u100_0024.json,3391.733200,3004.893200,1727.173200,2317.194000,1671.604000
0.75,302,m2a,c09_storm2_w80_u100_0025.json,5774.884000,4927.202800,3148.500000,3581.575200,2693.900800
0.75,302,m2a,c09_storm2_w80_u100_0026.json,3948.285600,2997.149200,2521.444000,3328.996800,1935.640400
0.75,302,m2a,c09_storm2_w80_u100_0027.json,2795.221600,2489.130400,1943.546400,2275.049600,1847.675600
0.75,302,m2a,c09_storm2_w80_u100_0028.json,1959.486400,1663.358400,1526.863600,1812.686400,1501.540800
0.75,302,m2a,c09_storm2_w80_u100_0029.json,4020.284800,3590.913600,1818.552800,2058.041600,1393.838000
0.75,303,m0,c09_storm2_w80_u100_0020.json,1970.798400,1505.472400,1456.047600,1805.723200,1483.052800
0.75,303,m0,c09_storm2_w80_u100_0021.json,2264.009600,1959.486000,1912.756000,2217.445200,1971.832800
0.75,303,m0,c09_storm2_w80_u100_0022.json,1037.825200,990.816400,922.269600,987.404800,943.385600
0.75,303,m0,c09_storm2_w80_u100_0023.json,5139.423200,3058.599600,2764.695200,3876.339600,2455.561600
0.75,303,m0,c09_storm2_w80_u100_0024.json,3391.733200,2099.383600,1645.665200,2317.194000,1671.604000
0.75,303,m0,c09_storm2_w80_u100_0025.json,5774.884000,3529.103200,3026.612800,3581.575200,2693.900800
0.75,303,m0,c09_storm2_w80_u100_0026.json,3948.285600,2173.183200,2011.322400,3328.996800,1935.640400
0.75,303,m0,c09_storm2_w80_u100_0027.json,2795.221600,1984.540800,1841.012400,2275.049600,1847.675600
0.75,303,m0,c09_storm2_w80_u100_0028.json,1959.486400,1517.184400,1494.644400,1812.686400,1501.540800
0.75,303,m0,c09_storm2_w80_u100_0029.json,4020.284800,2192.438400,1714.842400,2058.041600,1393.838000
0.75,303,m2t,c09_storm2_w80_u100_0020.json,1970.798400,1855.317200,1622.726400,1805.723200,1483.052800
0.75,303,m2t,c09_storm2_w80_u100_0021.json,2264.009600,2122.589600,1993.637200,2217.445200,1971.832800
0.75,303,m2t,c09_storm2_w80_u100_0022.json,1037.825200,1025.660400,947.152000,987.404800,943.385600
0.75,303,m2t,c09_storm2_w80_u100_0023.json,5139.423200,4257.029200,2996.614400,3876.339600,2455.561600
0.75,303,m2t,c09_storm2_w80_u100_0024.json,3391.733200,3007.155600,1743.109200,2317.194000,1671.604000
0.75,303,m2t,c09_storm2_w80_u100_0025.json,5774.884000,4938.466400,3229.641600,3581.575200,2693.900800
0.75,303,m2t,c09_storm2_w80_u100_0026.json,3948.285600,2887.834400,2474.886400,3328.996800,1935.640400
0.75,303,m2t,c09_storm2_w80_u100_0027.json,2795.221600,2479.250800,1931.526400,2275.049600,1847.675600
0.75,303,m2t,c09_storm2_w80_u100_0028.json,1959.486400,1651.130000,1526.050400,1812.686400,1501.540800
0.75,303,m2t,c09_storm2_w80_u100_0029.json,4020.284800,3547.564000,1801.542400,2058.041600,1393.838000
0.75,303,m2a,c09_storm2_w80_u100_0020.json,1970.798400,1876.812000,1578.666400,1805.723200,1483.052800
0.75,303,m2a,c09_storm2_w80_u100_0021.json,2264.009600,2106.230400,1978.129200,2217.445200,1971.832800
0.75,303,m2a,c09_storm2_w80_u100_0022.json,1037.825200,1015.875600,920.876000,987.404800,943.385600
0.75,303,m2a,c09_storm2_w80_u100_0023.json,5139.423200,4403.618400,3054.808400,3876.339600,2455.561600
0.75,303,m2a,c09_storm2_w80_u100_0024.json,3391.733200,2968.912400,1754.705600,2317.194000,1671.604000
0.75,303,m2a,c09_storm2_w80_u100_0025.json,5774.884000,4933.206000,3137.986000,3581.575200,2693.900800
0.75,303,m2a,c09_storm2_w80_u100_0026.json,3948.285600,3078.142000,2515.774800,3328.996800,1935.640400
0.75,303,m2a,c09_storm2_w80_u100_0027.json,2795.221600,2484.482400,1986.794400,2275.049600,1847.675600
0.75,303,m2a,c09_storm2_w80_u100_0028.json,1959.486400,1672.130000,1527.522800,1812.686400,1501.540800
0.75,303,m2a,c09_storm2_w80_u100_0029.json,4020.284800,3560.679600,1796.219600,2058.041600,1393.838000
