scope,campus,cell,rule,beta,n,mean_rule,mean_oracle,abs_gap,pct,wins,ties,losses
campus,5,pmmix/150/p50_c60,atc,1.0,30,6.5149,6.5149,0.0000,0.0000,0,30,0
campus,9,pmmix/150/p50_c60,atc,1.0,30,121.1446,120.6076,0.5370,0.4433,1,29,0
campus,10,pmmix/150/p50_c60,atc,1.0,30,24.3354,24.3354,0.0000,0.0000,0,30,0
campus,12,pmmix/150/p50_c60,atc,1.0,30,224.7067,224.7067,0.0000,0.0000,0,30,0
pooled_loaded,9+12,pmmix/150/p50_c60,atc,1.0,60,172.9257,172.6572,0.2685,0.1553,1,59,0
campus,5,pmmix/150/p50_c60,edd,0.5,30,4.4258,4.4160,0.0098,0.2220,0,30,0
campus,9,pmmix/150/p50_c60,edd,0.5,30,142.7533,142.7936,-0.0403,-0.0282,0,29,1
campus,10,pmmix/150/p50_c60,edd,0.5,30,24.6592,24.6592,0.0000,0.0000,0,30,0
campus,12,pmmix/150/p50_c60,edd,0.5,30,224.1632,224.1632,0.0000,0.0000,0,30,0
pooled_loaded,9+12,pmmix/150/p50_c60,edd,0.5,60,183.4583,183.4784,-0.0202,-0.0110,0,59,1
campus,5,pmmix/150/p50_c60,edd,1.0,30,6.5149,6.5149,0.0000,0.0000,0,30,0
campus,9,pmmix/150/p50_c60,edd,1.0,30,120.5843,120.5843,0.0000,0.0000,0,30,0
campus,10,pmmix/150/p50_c60,edd,1.0,30,24.3354,24.3354,0.0000,0.0000,0,30,0
campus,12,pmmix/150/p50_c60,edd,1.0,30,224.7067,224.7067,0.0000,0.0000,0,30,0
pooled_loaded,9+12,pmmix/150/p50_c60,edd,1.0,60,172.6455,172.6455,0.0000,0.0000,0,60,0
campus,5,pmmix/150/p80_c60,atc,0.5,30,5.3293,5.2334,0.0959,1.7992,1,29,0
campus,9,pmmix/150/p80_c60,atc,0.5,30,43.4314,43.4314,0.0000,0.0000,0,30,0
campus,10,pmmix/150/p80_c60,atc,0.5,30,4.9264,4.9264,0.0000,0.0000,0,30,0
campus,12,pmmix/150/p80_c60,atc,0.5,30,141.9658,141.9658,0.0000,0.0000,0,30,0
pooled_loaded,9+12,pmmix/150/p80_c60,atc,0.5,60,92.6986,92.6986,0.0000,0.0000,0,60,0
campus,5,pmmix/150/p80_c60,atc,1.0,30,1.7151,1.7151,0.0000,0.0000,0,30,0
campus,9,pmmix/150/p80_c60,atc,1.0,30,42.1828,42.1828,0.0000,0.0000,0,30,0
campus,10,pmmix/150/p80_c60,atc,1.0,30,2.5155,2.5155,0.0000,0.0000,0,30,0
campus,12,pmmix/150/p80_c60,atc,1.0,30,103.2528,103.2528,0.0000,0.0000,0,30,0
pooled_loaded,9+12,pmmix/150/p80_c60,atc,1.0,60,72.7178,72.7178,0.0000,0.0000,0,60,0
campus,5,pmmix/150/p80_c60,edd,0.5,30,5.2570,5.2334,0.0237,0.4504,0,30,0
campus,9,pmmix/150/p80_c60,edd,0.5,30,43.4314,43.4314,0.0000,0.0000,0,30,0
campus,10,pmmix/150/p80_c60,edd,0.5,30,4.9264,4.9264,0.0000,0.0000,0,30,0
campus,12,pmmix/150/p80_c60,edd,0.5,30,141.9658,141.9658,0.0000,0.0000,0,30,0
pooled_loaded,9+12,pmmix/150/p80_c60,edd,0.5,60,92.6986,92.6986,0.0000,0.0000,0,60,0
campus,5,pmmix/150/p80_c60,edd,1.0,30,1.7151,1.7151,0.0000,0.0000,0,30,0
campus,9,pmmix/150/p80_c60,edd,1.0,30,42.1828,42.1828,0.0000,0.0000,0,30,0
campus,10,pmmix/150/p80_c60,edd,1.0,30,2.5155,2.5155,0.0000,0.0000,0,30,0
campus,12,pmmix/150/p80_c60,edd,1.0,30,103.2528,103.2528,0.0000,0.0000,0,30,0
pooled_loaded,9+12,pmmix/150/p80_c60,edd,1.0,60,72.7178,72.7178,0.0000,0.0000,0,60,0
