part,scope,campus,regime,u,size,beta,rho,seed,inst_id,n_wos,util_pool,util_worst,subsampled,rule,m0_alone,oracle,rule_sup,m0_sup,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
B,e3,9,storm2,90,,1.0,0.25,303,c09_storm2_w80_u90_0021,1983,0.9084584217171718,1.215525144345238,0,1754.070800,1712.989600,1724.693600,1719.228400,1712.989600,0.2496,0.0199,0.2481,0.0000
B,e3,9,storm2,90,,1.0,0.25,303,c09_storm2_w80_u90_0022,1983,0.9084584217171718,1.215525144345238,0,1255.530000,1207.906000,1218.304800,1245.562400,1203.698800,0.2492,0.0158,0.2494,0.0032
B,e3,9,storm2,90,,1.0,0.25,303,c09_storm2_w80_u90_0023,1983,0.9084584217171718,1.215525144345238,0,1251.113600,1205.097200,1185.189600,1242.408800,1187.263200,0.2490,0.0281,0.2486,0.0250
B,e3,9,storm2,90,,1.0,0.25,303,c09_storm2_w80_u90_0024,1983,0.9084584217171718,1.215525144345238,0,2040.184000,1448.921600,1434.189200,1727.396400,1426.548000,0.2500,0.0505,0.2505,0.0292
B,e3,9,storm2,90,,1.0,0.25,303,c09_storm2_w80_u90_0025,1983,0.9084584217171718,1.215525144345238,0,1653.087600,1563.323600,1550.068000,1621.426000,1563.323600,0.2492,0.0097,0.2492,0.0000
B,e3,9,storm2,90,,1.0,0.25,303,c09_storm2_w80_u90_0026,1983,0.9084584217171718,1.215525144345238,0,1769.389600,1282.759600,1308.659600,1655.275200,1274.260000,0.2504,0.0250,0.2443,0.0032
B,e3,9,storm2,90,,1.0,0.25,303,c09_storm2_w80_u90_0027,1983,0.9084584217171718,1.215525144345238,0,1752.833600,906.013200,803.994000,1041.454800,820.642400,0.2502,0.0991,0.2502,0.0539
B,e3,9,storm2,90,,1.0,0.25,303,c09_storm2_w80_u90_0028,1983,0.9084584217171718,1.215525144345238,0,804.369600,697.722000,730.334800,778.310000,697.722000,0.2494,0.0301,0.2496,0.0033
B,e3,9,storm2,90,,1.0,0.25,303,c09_storm2_w80_u90_0029,1983,0.9084584217171718,1.215525144345238,0,3061.778400,2793.178000,2856.388000,3003.177600,2772.647600,0.2504,0.0262,0.2498,0.0087
B,e3,9,storm2,70,,1.0,0.25,303,c09_storm2_w80_u70_0020,1686,0.700777710858586,0.9395945758928572,0,1574.511600,1512.806800,1524.045600,1575.405600,1512.806800,0.2507,0.0265,0.2497,0.0000
B,e3,9,storm2,70,,1.0,0.25,303,c09_storm2_w80_u70_0021,1686,0.700777710858586,0.9395945758928572,0,846.673600,849.452800,846.673600,846.673600,849.452800,0.2500,0.0000,0.2485,0.0000
B,e3,9,storm2,70,,1.0,0.25,303,c09_storm2_w80_u70_0022,1686,0.700777710858586,0.9395945758928572,0,1008.481600,1031.036800,1012.175200,1008.481600,1022.584000,0.2515,0.0000,0.2471,0.0235
B,e3,9,storm2,70,,1.0,0.25,303,c09_storm2_w80_u70_0023,1686,0.700777710858586,0.9395945758928572,0,1055.166000,1057.525200,1055.855600,1055.166000,1057.525200,0.2527,0.0000,0.2500,0.0000
B,e3,9,storm2,70,,1.0,0.25,303,c09_storm2_w80_u70_0024,1686,0.700777710858586,0.9395945758928572,0,1460.026400,1453.044400,1510.478800,1460.026400,1453.044400,0.2506,0.0000,0.2500,0.0000
B,e3,9,storm2,70,,1.0,0.25,303,c09_storm2_w80_u70_0025,1686,0.700777710858586,0.9395945758928572,0,700.335200,700.335200,700.335200,700.335200,700.335200,0.2525,0.0000,0.2525,0.0000
B,e3,9,storm2,70,,1.0,0.25,303,c09_storm2_w80_u70_0026,1686,0.700777710858586,0.9395945758928572,0,828.348800,793.020800,788.582800,827.825200,793.020800,0.2500,0.0065,0.2512,0.0064
B,e3,9,storm2,70,,1.0,0.25,303,c09_storm2_w80_u70_0027,1686,0.700777710858586,0.9395945758928572,0,1148.310800,1150.303600,1152.793200,1148.310800,1150.303600,0.2500,0.0000,0.2505,0.0000
B,e3,9,storm2,70,,1.0,0.25,303,c09_storm2_w80_u70_0028,1686,0.700777710858586,0.9395945758928572,0,1040.036400,998.212400,931.369600,1012.924000,998.212400,0.2514,0.0519,0.2495,0.0000
B,e3,9,storm2,70,,1.0,0.25,303,c09_storm2_w80_u70_0029,1686,0.700777710858586,0.9395945758928572,0,462.854400,466.336000,463.065600,462.854400,466.336000,0.2492,0.0000,0.2366,0.0000
