scope,campus,cell,sigma_s,beta,wtag,n,mean_rule,mean_oracle,abs_gap,pct_gap,wins,ties,losses
campus,10,storm150_a300_c80,1.0,0.75,w27931,30,80.7754,80.7754,0.0000,0.0000,0,30,0
campus,10,storm150_a300_c80,1.0,1.0,w8421,30,23.9334,23.9334,0.0000,0.0000,0,30,0
campus,10,storm150_a300_c80,1.0,1.0,w16421,30,47.8669,47.8669,0.0000,0.0000,0,30,0
campus,10,storm150_a300_c80,1.0,1.0,w27931,30,80.7754,80.7754,0.0000,0.0000,0,30,0
campus,10,storm150_a300_c80,2.0,0.5,w8421,30,11.7141,11.7141,0.0000,0.0000,0,30,0
campus,10,storm150_a300_c80,2.0,0.5,w16421,30,11.9894,11.9894,0.0000,0.0000,0,30,0
campus,10,storm150_a300_c80,2.0,0.5,w27931,30,26.3738,26.3738,0.0000,0.0000,0,30,0
campus,10,storm150_a300_c80,2.0,0.75,w8421,30,12.8848,12.8848,0.0000,0.0000,0,30,0
campus,10,storm150_a300_c80,2.0,0.75,w16421,30,14.7210,14.7210,0.0000,0.0000,0,30,0
campus,10,storm150_a300_c80,2.0,0.75,w27931,30,31.0565,31.0565,0.0000,0.0000,0,30,0
campus,10,storm150_a300_c80,2.0,1.0,w8421,30,23.9334,23.9334,0.0000,0.0000,0,30,0
campus,10,storm150_a300_c80,2.0,1.0,w16421,30,47.8669,47.8669,0.0000,0.0000,0,30,0
campus,10,storm150_a300_c80,2.0,1.0,w27931,30,80.7754,80.7754,0.0000,0.0000,0,30,0
campus,10,storm150_a200_c80,1.0,0.5,w8421,30,15.8418,15.8418,0.0000,0.0000,0,30,0
campus,10,storm150_a200_c80,1.0,0.5,w16421,30,22.8230,22.8230,0.0000,0.0000,0,30,0
campus,10,storm150_a200_c80,1.0,0.5,w27931,30,43.4980,43.4980,0.0000,0.0000,0,30,0
campus,10,storm150_a200_c80,1.0,0.75,w8421,30,24.4205,24.4205,0.0000,0.0000,0,30,0
campus,10,storm150_a200_c80,1.0,0.75,w16421,30,48.5591,48.5591,0.0000,0.0000,0,30,0
campus,10,storm150_a200_c80,1.0,0.75,w27931,30,82.1020,82.1020,0.0000,0.0000,0,30,0
campus,10,storm150_a200_c80,1.0,1.0,w8421,30,24.2795,24.2795,0.0000,0.0000,0,30,0
campus,10,storm150_a200_c80,1.0,1.0,w16421,30,48.4181,48.4181,0.0000,0.0000,0,30,0
campus,10,storm150_a200_c80,1.0,1.0,w27931,30,81.6792,81.6792,0.0000,0.0000,0,30,0
campus,10,storm150_a200_c80,2.0,0.5,w8421,30,15.2534,15.2534,0.0000,0.0000,0,30,0
campus,10,storm150_a200_c80,2.0,0.5,w16421,30,22.2346,22.2346,0.0000,0.0000,0,30,0
campus,10,storm150_a200_c80,2.0,0.5,w27931,30,41.7327,41.7327,0.0000,0.0000,0,30,0
campus,10,storm150_a200_c80,2.0,0.75,w8421,30,15.8418,15.8418,0.0000,0.0000,0,30,0
campus,10,storm150_a200_c80,2.0,0.75,w16421,30,22.8230,22.8230,0.0000,0.0000,0,30,0
campus,10,storm150_a200_c80,2.0,0.75,w27931,30,43.4980,43.4980,0.0000,0.0000,0,30,0
campus,10,storm150_a200_c80,2.0,1.0,w8421,30,24.2091,24.2091,0.0000,0.0000,0,30,0
campus,10,storm150_a200_c80,2.0,1.0,w16421,30,48.3477,48.3477,0.0000,0.0000,0,30,0
campus,10,storm150_a200_c80,2.0,1.0,w27931,30,81.5382,81.5382,0.0000,0.0000,0,30,0
campus,10,pmmix150_p20_c60,1.0,0.5,w8421,30,59.0185,59.0185,0.0000,0.0000,0,30,0
campus,10,pmmix150_p20_c60,1.0,0.5,w16421,30,101.0015,101.0015,0.0000,0.0000,0,30,0
campus,10,pmmix150_p20_c60,1.0,0.5,w27931,30,180.0226,180.0226,0.0000,0.0000,0,30,0
campus,10,pmmix150_p20_c60,1.0,0.75,w8421,30,59.0185,59.0185,0.0000,0.0000,0,30,0
campus,10,pmmix150_p20_c60,1.0,0.75,w16421,30,101.0015,101.0015,0.0000,0.0000,0,30,0
campus,10,pmmix150_p20_c60,1.0,0.75,w27931,30,180.0226,180.0226,0.0000,0.0000,0,30,0
campus,10,pmmix150_p20_c60,1.0,1.0,w8421,30,64.6288,64.6288,0.0000,0.0000,0,30,0
campus,10,pmmix150_p20_c60,1.0,1.0,w16421,30,122.1893,122.1893,0.0000,0.0000,0,30,0
campus,10,pmmix150_p20_c60,1.0,1.0,w27931,30,208.5365,208.5365,0.0000,0.0000,0,30,0
campus,10,pmmix150_p20_c60,2.0,0.5,w8421,30,54.4407,54.4407,0.0000,0.0000,0,30,0
campus,10,pmmix150_p20_c60,2.0,0.5,w16421,30,97.5420,97.5420,0.0000,0.0000,0,30,0
campus,10,pmmix150_p20_c60,2.0,0.5,w27931,30,167.1277,167.1277,0.0000,0.0000,0,30,0
campus,10,pmmix150_p20_c60,2.0,0.75,w8421,30,57.3993,57.3993,0.0000,0.0000,0,30,0
campus,10,pmmix150_p20_c60,2.0,0.75,w16421,30,100.5006,100.5006,0.0000,0.0000,0,30,0
campus,10,pmmix150_p20_c60,2.0,0.75,w27931,30,176.0035,176.0035,0.0000,0.0000,0,30,0
campus,10,pmmix150_p20_c60,2.0,1.0,w8421,30,64.3973,64.3973,0.0000,0.0000,0,30,0
campus,10,pmmix150_p20_c60,2.0,1.0,w16421,30,123.6732,123.6732,0.0000,0.0000,0,30,0
campus,10,pmmix150_p20_c60,2.0,1.0,w27931,30,210.2177,210.2177,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm150_a300_c80,1.0,0.5,w8421,60,210.9426,210.9426,0.0000,0.0000,0,60,0
pooled_loaded,9+12,storm150_a300_c80,1.0,0.5,w16421,60,343.3784,343.3784,0.0000,0.0000,0,60,0
pooled_loaded,9+12,storm150_a300_c80,1.0,0.5,w27931,60,614.9431,614.9431,0.0000,0.0000,0,60,0
pooled_loaded,9+12,storm150_a300_c80,1.0,0.75,w8421,60,223.5685,223.5685,0.0000,0.0000,0,60,0
pooled_loaded,9+12,storm150_a300_c80,1.0,0.75,w16421,60,377.5376,377.5376,0.0000,0.0000,0,60,0
pooled_loaded,9+12,storm150_a300_c80,1.0,0.75,w27931,60,668.7896,668.7896,0.0000,0.0000,0,60,0
pooled_loaded,9+12,storm150_a300_c80,1.0,1.0,w8421,60,212.0681,212.0681,0.0000,0.0000,0,60,0
pooled_loaded,9+12,storm150_a300_c80,1.0,1.0,w16421,60,344.3800,344.3800,0.0000,0.0000,0,60,0
pooled_loaded,9+12,storm150_a300_c80,1.0,1.0,w27931,60,617.8964,617.8964,0.0000,0.0000,0,60,0
pooled_loaded,9+12,storm150_a300_c80,2.0,0.5,w8421,60,184.0326,184.0326,0.0000,0.0000,0,60,0
pooled_loaded,9+12,storm150_a300_c80,2.0,0.5,w16421,60,299.2536,299.2536,0.0000,0.0000,0,60,0
pooled_loaded,9+12,storm150_a300_c80,2.0,0.5,w27931,60,523.4351,523.4351,0.0000,0.0000,0,60,0
pooled_loaded,9+12,storm150_a300_c80,2.0,0.75,w8421,60,177.1698,177.1732,-0.0034,-0.0019,0,60,0
pooled_loaded,9+12,storm150_a300_c80,2.0,0.75,w16421,60,290.2981,290.3015,-0.0034,-0.0012,0,60,0
