campus,track,cell,rule,beta,inst_id,n_wo,n_crew,window_bh,util_pooled,util_worst,worst_trade,incomplete_at_horizon,makespan,twt_rule,twt_oracle,nlate_rule,nlate_oracle
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0022,400,60,85.6824,0.2884,0.4415,D50,16,100.7269,863.3032,863.3032,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0023,400,60,79.3522,0.2905,0.5204,D20,21,88.5191,786.9804,786.5060,14,14
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0023,400,60,79.3522,0.2905,0.5204,D20,21,88.5191,787.2844,786.5060,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0023,400,60,79.3522,0.2905,0.5204,D20,21,88.5191,1256.0720,1255.5976,16,16
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0023,400,60,79.3522,0.2905,0.5204,D20,21,88.5191,1255.1496,1254.6752,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0023,400,60,79.3522,0.2905,0.5204,D20,21,88.5191,1072.3888,1070.9920,17,17
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0023,400,60,79.3522,0.2905,0.5204,D20,21,88.5191,1071.4664,1071.9144,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0024,400,60,86.3305,0.2703,0.3770,D20,19,106.4897,412.4604,412.4604,10,10
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0024,400,60,86.3305,0.2703,0.3770,D20,19,106.4897,412.4604,412.4604,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0024,400,60,86.3305,0.2703,0.3770,D20,19,106.4897,544.2332,544.2332,14,14
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0024,400,60,86.3305,0.2703,0.3770,D20,19,106.4897,544.2332,544.2332,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0024,400,60,86.3305,0.2703,0.3770,D20,19,106.4897,921.7680,921.7680,18,18
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0024,400,60,86.3305,0.2703,0.3770,D20,19,106.4897,921.7680,921.7680,-1,-1
